GENEID,TXNAME
K562_RS03635,K562_RS03635
K562_RS03640,K562_RS03640
K562_RS03645,K562_RS03645
K562_RS03650,K562_RS03650
K562_RS03655,K562_RS03655
K562_RS03660,K562_RS03660
K562_RS03665,K562_RS03665
K562_RS03670,K562_RS03670
K562_RS03675,K562_RS03675
K562_RS03680,K562_RS03680
K562_RS03685,K562_RS03685
K562_RS03690,K562_RS03690
K562_RS03695,K562_RS03695
K562_RS03700,K562_RS03700
K562_RS03705,K562_RS03705
K562_RS03710,K562_RS03710
K562_RS03715,K562_RS03715
K562_RS03720,K562_RS03720
K562_RS03725,K562_RS03725
K562_RS03730,K562_RS03730
K562_RS03735,K562_RS03735
K562_RS03740,K562_RS03740
K562_RS03745,K562_RS03745
K562_RS03750,K562_RS03750
K562_RS03755,K562_RS03755
K562_RS03760,K562_RS03760
K562_RS03765,K562_RS03765
K562_RS03770,K562_RS03770
K562_RS03775,K562_RS03775
K562_RS03780,K562_RS03780
K562_RS03785,K562_RS03785
K562_RS03790,K562_RS03790
K562_RS03795,K562_RS03795
K562_RS03800,K562_RS03800
K562_RS03805,K562_RS03805
K562_RS03810,K562_RS03810
K562_RS03815,K562_RS03815
K562_RS03820,K562_RS03820
K562_RS03825,K562_RS03825
K562_RS03830,K562_RS03830
K562_RS03835,K562_RS03835
K562_RS03840,K562_RS03840
K562_RS03845,K562_RS03845
K562_RS03850,K562_RS03850
K562_RS03855,K562_RS03855
K562_RS03860,K562_RS03860
K562_RS03865,K562_RS03865
K562_RS03870,K562_RS03870
K562_RS03875,K562_RS03875
K562_RS03880,K562_RS03880
K562_RS03885,K562_RS03885
K562_RS03890,K562_RS03890
K562_RS03895,K562_RS03895
K562_RS03900,K562_RS03900
K562_RS03905,K562_RS03905
K562_RS03910,K562_RS03910
K562_RS03915,K562_RS03915
K562_RS03920,K562_RS03920
K562_RS03925,K562_RS03925
K562_RS03930,K562_RS03930
K562_RS03935,K562_RS03935
K562_RS03940,K562_RS03940
K562_RS03945,K562_RS03945
K562_RS03950,K562_RS03950
K562_RS03955,K562_RS03955
K562_RS03960,K562_RS03960
K562_RS03965,K562_RS03965
K562_RS03970,K562_RS03970
K562_RS03975,K562_RS03975
K562_RS03980,K562_RS03980
K562_RS03985,K562_RS03985
K562_RS03990,K562_RS03990
K562_RS03995,K562_RS03995
K562_RS04000,K562_RS04000
K562_RS04005,K562_RS04005
K562_RS04010,K562_RS04010
K562_RS04015,K562_RS04015
K562_RS04020,K562_RS04020
K562_RS04025,K562_RS04025
K562_RS04030,K562_RS04030
K562_RS04035,K562_RS04035
K562_RS04040,K562_RS04040
K562_RS04045,K562_RS04045
K562_RS04050,K562_RS04050
K562_RS04055,K562_RS04055
K562_RS04060,K562_RS04060
K562_RS04065,K562_RS04065
K562_RS04070,K562_RS04070
K562_RS04075,K562_RS04075
K562_RS04080,K562_RS04080
K562_RS04085,K562_RS04085
K562_RS04090,K562_RS04090
K562_RS04100,K562_RS04100
K562_RS04105,K562_RS04105
K562_RS04110,K562_RS04110
K562_RS04115,K562_RS04115
K562_RS04120,K562_RS04120
K562_RS04125,K562_RS04125
K562_RS04130,K562_RS04130
K562_RS04135,K562_RS04135
K562_RS04140,K562_RS04140
K562_RS04145,K562_RS04145
K562_RS04150,K562_RS04150
K562_RS04155,K562_RS04155
K562_RS04160,K562_RS04160
K562_RS04165,K562_RS04165
K562_RS04170,K562_RS04170
K562_RS04175,K562_RS04175
K562_RS04180,K562_RS04180
K562_RS04185,K562_RS04185
K562_RS04190,K562_RS04190
K562_RS04195,K562_RS04195
K562_RS04200,K562_RS04200
K562_RS04205,K562_RS04205
K562_RS04210,K562_RS04210
K562_RS04215,K562_RS04215
K562_RS04220,K562_RS04220
K562_RS04225,K562_RS04225
K562_RS04230,K562_RS04230
K562_RS04235,K562_RS04235
K562_RS04240,K562_RS04240
K562_RS04245,K562_RS04245
K562_RS04250,K562_RS04250
K562_RS04255,K562_RS04255
K562_RS04260,K562_RS04260
K562_RS04265,K562_RS04265
K562_RS04270,K562_RS04270
K562_RS04275,K562_RS04275
K562_RS04280,K562_RS04280
K562_RS04285,K562_RS04285
K562_RS04290,K562_RS04290
K562_RS04295,K562_RS04295
K562_RS04300,K562_RS04300
K562_RS04305,K562_RS04305
K562_RS04310,K562_RS04310
K562_RS04315,K562_RS04315
